WRONG_SUM! 17/01 13:48:29 SUM: 72  	b'\xce\x8fo\xcc\xcb\x1f\x95\xcb?\xb5\xfb\xe7\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 77  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 256  	b'\x00\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 111  	b'\x93\x04L\xfe\xfc\xbc\x00\x00\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 146  	b'3 \xa8_1\xe5\xb1\x07F\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 103  	b'3 \xa8\xef@U\xd0\x80_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 110  	b'\x03\x80@\xde\xc5\xd1g\xbc4\x98\xb44\xb8\xe4 \x98\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 73  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\xa0\xa6h\x02\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 158  	b'\xc7\x80@x\x7f\xbe\x9c\xfa\x1c\xdb\xa0\x9c\xb9\xe1$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 18  	b'\xc7\x80@~\x16\xa9\x0e\x1c\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:29 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 113  	b'3\x00(\xef\xc5qo2T\xdc\xae\x0c\xdc\xde\x10\xdc\xae\x14\x1c\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 155  	b'\x9a\xda\xc7!\x00o\xd5I\xff}\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 34  	b'\x9a\x80\x00\xde\xc5\xd1g\x85\x8c\xd8\n'
WRONG_SUM! 17/01 13:48:30 SUM: 69  	b'\x80\xdc\xb6WR\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 88  	b'\xc2\x9a8\x03\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 53  	b'\xce\xb4\xc3\xb6\xf6\xa9j\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 142  	b'3 \xa8_1\xed\xb1\x07B\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 101  	b'3\x00\xa8\xefEU\xd0\x85_\xc4\xf0\x969\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 14  	b'\x03\x80\xa0\xde\xc5\xd1g\xbc4\x98\xb44\xb8\xe4 \x98\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 224  	b'\x03\xdaA\x02\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 225  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\x07g\x1fK\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 214  	b'\xc7\x00@x\x7f\xbe\x9c\xfa\x1c\x93\xa0\x9c\xb9\xe8$\xd2\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 110  	b'\xc7\x80@~\x16j\x07\x06\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 211  	b's\xf5I\xff}\x00'
