WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 176  	b'\xceGo\xcc\xcb'
WRONG_SUM! 17/01 14:06:33 SUM: 125  	b'Rj\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 248  	b'\xce\x16\xfc\x16\x01\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 230  	b's\xf5I\xff\xa9q\x02\xff\xd3~\xfer'
WRONG_SUM! 17/01 14:06:33 SUM: 255  	b'\x01\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 51  	b'\x03\x80@\xde\xc5\xd1g\xbc4\xb8\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 39  	b'3 \xa8\x0f1\xed\xb1\x07'
WRONG_SUM! 17/01 14:06:33 SUM: 42  	b'\xd6\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 221  	b'3 \xa8\xef\xc5U\xd0\x85_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 97  	b'\xce\xfa\xd7\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 136  	b'N\x81\xbfW\xb6\xbe\x1f\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
WRONG_SUM! 17/01 14:06:33 SUM: 170  	b'\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 21  	b'\xce@\xbf_\xbf\xba'
WRONG_SUM! 17/01 14:06:33 SUM: 169  	b'*\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 35  	b'\x03\xdaA'
WRONG_SUM! 17/01 14:06:33 SUM: 250  	b'\x06\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 180  	b'\xc7\x9a\x07g}Z'
WRONG_SUM! 17/01 14:06:33 SUM: 85  	b'\x01\x00\xc7\x80@x\x7f\xbe\x9c\xfa\x1c2\xf8\x9c\xb9\xe8$\xfb\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 110  	b'\xc7\x80@~\x16j\x07\x06\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 86  	b'3\x00(\xee\xc5qg2T\xdc\xae\x0c\xdc\xde\x14\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
WRONG_SUM! 17/01 14:06:34 SUM: 170  	b'\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 191  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7'
WRONG_SUM! 17/01 14:06:34 SUM: 106  	b'*|\xf6*|\xc6*|\xbe*\xc4'
WRONG_SUM! 17/01 14:06:34 SUM: 255  	b'\x01\x00o'
WRONG_SUM! 17/01 14:06:34 SUM: 29  	b'U\xffZ\xff6\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 140  	b'\x9a\xda\xc7'
WRONG_SUM! 17/01 14:06:34 SUM: 208  	b'!\x00\x9a\x80@\xde\xc5\xd1w\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:34 SUM: 23  	b'\x00\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 42  	b'\xce\xb4\xc3\xae\xf6R\xd4\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 30  	b'\xceB\xfe\xd4\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 132  	b's\xf5I\xff\xa9q\x82\xfe\xfe4\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 249  	b'\x03\x8fu\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 139  	b'\x03\x80@\xde\xc5\xd1o\xbc4\xb8\xb44\x98\xe4(\x98\x03\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 39  	b'3 \xa8\x0f1\xed\xb1\x07'
WRONG_SUM! 17/01 14:06:34 SUM: 186  	b'F\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 166  	b'3\x00\xa8\xef@U\xd0\x81_\x8c\xf0\x969\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00o'
