WRONG_SUM! 17/01 14:06:16 SUM: 235  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\x98\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 74  	b'3 \xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 130  	b'3\x00\xa8\xef@U\xd0\x80_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 182  	b'S\xf5\xc9\x00\xc7\x9a\x07g\x1fK\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 240  	b'\xc7\x80@xW\xbe\xbc\xfa\x1c2\xf8\x9c\xb9\xe8$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 54  	b'\xc7\x80@~YR\x0e\x0c\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 24  	b'3\xe0\xeeW\xfe\x0e\xfe\x86\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 98  	b'3\x00(\xee\xc5qg2T\xdc\xae\x04\xdc\xde4\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:06:16 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 112  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xe0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 3  	b'\xc2\x80@x\x85\x0f\x9e?%\x7f\x9f\x89\xc6*\xf4\xbe*\xf4\x06\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 185  	b'\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:17 SUM: 23  	b'\x00\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 75  	b'\xce\x8fo\xcc\xcb\xa9\xb0\xf6?\xb5\xfb\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 132  	b'3\xe0\xe7\x0f\xf1\xc6\xbc\n'
WRONG_SUM! 17/01 14:06:17 SUM: 220  	b'\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 191  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xd8\xb44\xb8\xe44\x98\x03\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 67  	b'3 \xa8\x0f1\xf4\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 58  	b'3 \xa8\xef@U\xd0\x80_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 233  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 141  	b'S\xf5\xc9\x00\xc7\x9a\xa0\xa6h\x02\x00\xc7\x00@\xe1\xae\xf88\xfa\x1c2\xfc\x9c\xb9\xa1$\xdb\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 18  	b'\xc7\x80@~\x16\xa9\x0e\x1c\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 225  	b'3\x80\xe4/\xf1v\x10\xe2\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 36  	b'sm\xfc\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 90  	b'3\x00(\xee\xc5qo2T\xdc\xae\x04\xdc\xde4\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:06:17 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 208  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 147  	b'\x9a\x80\x00/\x11\xa3\x7f\x01\x02\x02\x00\xec\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 121  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:18 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 49  	b'\xce\x8fo\xe6\xcb\xa9\xb5\xf6?\xb5\xf6\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 86  	b'3\xa0\xe4/\xf1>\x8d\x08\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 83  	b'\x03\x80@\xde\xc5\xd1g\xbc4\x98\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 106  	b'3\x00\xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 120  	b'3\x00\xa8\xefEU\xd0\x85_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 182  	b'S\xf5\xc9\x00\xc7\x9a\x07g\x1fK\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 90  	b'\xc7\x00@\xe1\xae|8\xfa\x1c2\xf4\x9c\xb9\xe8$i\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 18  	b'\xc7\x80@~}R\x0e\x0c\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 14  	b's\xf5I\xff\xff\xb6\xfb\x92\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 94  	b'3\x00(\xce\xc5qg2T\xdc\xae\x04\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:18 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 144  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 121  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:19 SUM: 91  	b'\x14\xdc\xb6W\xa8\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 158  	b'\xce\xb4\xc3\xb6\xf6\xa9\xd4\xf6?\xb5\xf6\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 211  	b'\xf3F\xfe\xf6\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 249  	b'\x03\x8fu\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 207  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xb8\xb44\xb8\xe4 \x98\x03\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 250  	b'3 \xa8_1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 248  	b'3\x00\xa8\xef\xc5U\xd0\x85_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 222  	b'S\xf5\xc9\x00\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 152  	b'\xc7\x80@x\x85\xe1\xdf\x1c\x93\xa0\x9c\xb9\xa1$i\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 110  	b'\xc7\x80@~\x16j\x07\x06\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 157  	b's\xf5I\xff\xff\x00\xfe\xb6\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 28  	b'3 (\xce\xc5q\xef2\x00\xdc\xae\x0c\xdc\xde4\xdc\xae\x1a\x1c\x00'
WRONG_SUM! 17/01 14:06:19 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 112  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xe0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 240  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00oU\xc9\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 65  	b'\x9a\x80\x00\xde\xc5\xd1g\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:20 SUM: 3  	b'\x14\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 44  	b'\xce\x8fo\xcc\xcb\xa9\xd4\xf6?\xb5\xf6\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 132  	b's\xf5I\xff\xa9q\x82\xfe\xfe4\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 147  	b'\x03\x80@\xde\xc5\xd1o\xbc4\x98\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 142  	b'3 \xa8_1\xed\xb1\x07B\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 184  	b'3\x00\xa8\xef\xc5U\xd0\x85_\xc4\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 109  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00oU\xc9\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 222  	b'S\xf5\xc9\x00\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 132  	b'\xc7\x80@x\x85\xe1O\x1c2\xe8\x9c\xb9\xe8$\xfb\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 38  	b'\xc7\x80@~YR\x0e\x1c\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 242  	b'3 (\xde\xc5q\xef2\x00\xdc\xae\x0c\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:20 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 144  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 121  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:21 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 76  	b'\xce\xb4\xc3n\xf6\xa9j\xf6?\xb5\xfa\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 11  	b'\x03\x80\x00\xde\xc5\xd1\xef\xbc4\xb8\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 249  	b'3\x00\xa8YF\xff\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 181  	b'3 \xa8\xef\xc5U\xd0\x80_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 233  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 211  	b's\xf5I\xff}\x00'
