WRONG_SUM! 17/01 13:51:14 SUM: 226  	b'3\xe0\xe7\xcf\xc5\x9e\xbc6\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 212  	b'\xf3V\xfd\xe6\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 225  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\x07g\x1fK\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 131  	b'\xc7\x00@x\x85\xe1O\x1c\xdb\xa0\x9c\xb9\xe8$\xfb\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 110  	b'\x00\xc7\x80@~\x16j\x07\x06\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:14 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 82  	b'3 (\xce\xc5qo2T\xdc\xae\x0c\xdc\xde4\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 61  	b'S\xf5\xff\x80\xfe\xfe\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 122  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\xb9\x14\x00\xdc\xb6W\x02\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 72  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00G\xa6\x98\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 194  	b'\x03\x80\x00\xde\xc5\xd1g\xbc4\xdc\xb44\x98\xe4h\x98\x03\x003 \xa8\x0f1\xe4\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 85  	b'3\x00\xa8\xef@U\xd0\x85_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 132  	b'\xce\x8fo\xe6\x8b\xbf*-\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 211  	b'\xf3N\xfe\xee\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 225  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\x07g\x1fK\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 243  	b'\x07\x00\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 189  	b'\xc7\x80@xW|8\xfa\x1c2\xe8\x9c\xb9\xf1$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 38  	b'\xc7\x80@~YR\x0e\x1c\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:15 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 78  	b'3 (\xce\xc5q\xef2\x00\xdc\xae\x04\xdc\xde\x10\xdc\xae\x14\x1c\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 154  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\x98\n'
WRONG_SUM! 17/01 13:51:16 SUM: 3  	b'\x14\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 78  	b'G\xa6\x98\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 134  	b's\xf5I\xff\xa9q\x82\xfe\xfc4\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 211  	b'\xf3\x0e\xfe.\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 19  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\x98\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 189  	b'3\x00\xa8Y\x02\xff\xb1\x07V\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 253  	b'3\x00\xa8\xef\xc5U\xd0\x80_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 132  	b'\xce\x8fo\xe6\x8b\xbf*-\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 203  	b'\x03\xdaA\x06\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 4  	b'\xc2\x9a8\x03\x00wN:\xfc\xd3h\x02\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 143  	b'\xc7\x80@x\x7f\xbe\x9c\xfa\x1c2\xe8\x9c\xb9\xe8$\xd2\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 18  	b'\xc7\x80@~\x16\xa9\x0e\x1c\x00'
